normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,symptoms_completeness_score,dosha_clarity_score,diet_lifestyle_completeness_score,prevention_completeness_score,complications_referral_completeness_score,within_group_symptom_coherence,symptom_distinctiveness_score,distinctiveness_score,rule_potential_score,external_source_availability_status,external_source_availability_score,manageable_scope_status,manageable_scope_score,preliminary_data_score,selection_score
mucolipidosis,Mucolipidosis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5432704342594259,0.5432704342594259,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7493270434259426,0.7493270434259426
mucopolysaccharidosis,Mucopolysaccharidosis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7450411176278051,0.7450411176278051,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7695041117627804,0.7695041117627804
multiple myeloma,Multiple Myeloma,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.617793253928354,0.617793253928354,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7567793253928353,0.7567793253928353
multiple sclerosis,Multiple Sclerosis,2,"Vata | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.29670081122577385,0.39337760951828804,0.39337760951828804,0.9,not yet verified,0.0,not manually reviewed,0.5,0.6623377609518288,0.6623377609518288
multiple sulfatase deficiency,Multiple Sulfatase Deficiency,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5432704342594259,0.5432704342594259,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7493270434259426,0.7493270434259426
muscular dystrophy,Muscular Dystrophy,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.26448211255754595,0.26448211255754595,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7214482112557545,0.7214482112557545
myasthenia gravis,Myasthenia Gravis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5722730400515806,0.5722730400515806,1.0,not yet verified,0.0,not manually reviewed,0.5,0.752227304005158,0.752227304005158
mycetoma,Mycetoma,1,Kapha,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6551270192729945,0.6551270192729945,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7605127019272994,0.7605127019272994
myocardial infarction heart attack,Myocardial Infarction (Heart Attack),1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.2797235620054277,0.2797235620054277,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7229723562005427,0.7229723562005427
myotonia congenita,Myotonia Congenita,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7073667519069802,0.7073667519069802,1.0,not yet verified,0.0,not manually reviewed,0.5,0.765736675190698,0.765736675190698
